,Sequence of all items,Main Chapter heading,Chapter rank,Web chapter heading,Sequence of secondary chapters,Secondary chapter heading (too long to use),Simplified secondary chapter heading,Web subchapter heading,Species name,Species file name,Explore numbers in this file,Numbered sounds in file,Book page,Photo #1,Caption for Photo #1,Photo #2,Caption for Photo #2,Photo #3,Caption for photo #3,sound 1,sound 2 ,sound 3,sound 4,sound 5,sound 6,sound 7,sound 8,sound 9,sound 10,sound 11,sound 12,sound 13,sound 14,sound 15,sound 16,Unnamed: 35,Chapter rank.1,Chapter name, Subchapter rank, Subchapter heading,spedies_index,qr_url,group_name,family_name,species_index
119,120,6. Song Learning Often Creates Complex Songs and Large Repertoires,6,6. Song Learning Often Creates Complex Songs and Large Repertoires,62,Small to large repertoires: Songbirds with ten or so different songs,Small to large repertoires,Small to large repertoires,Northern cardinal,6.2_NoCa,40,400-404,89,NoCa--bbj464b-noca-tree-cloned-CPk_04-1-15_4508,Photo by John Van de Graaff,,,,,400,401.0,402.0,403.0,404.0,,,,,,,,,,,,,,,,,120,http://BirdsongForTheCurious.com/SpeciesFile.php?page=120,"Cardinals, tanagers, grosbeaks, buntings",Cardinalidae,120
120,121,6. Song Learning Often Creates Complex Songs and Large Repertoires,6,6. Song Learning Often Creates Complex Songs and Large Repertoires,62,Small to large repertoires: Songbirds with hundreds,Small to large repertoires,Small to large repertoires,Rock wren,6.2_RoWr,,405-406,90,RoWr-RR-RockWren,Photo by Robert Royse,,,,,405,406.0,,,,,,,,,,,,,,,,,,,,121,http://BirdsongForTheCurious.com/SpeciesFile.php?page=121,Wrens,Troglodytidae,121
121,122,6. Song Learning Often Creates Complex Songs and Large Repertoires,6,6. Song Learning Often Creates Complex Songs and Large Repertoires,62,Small to large repertoires: Songbirds with hundreds,Small to large repertoires,Small to large repertoires,Sedge wren,6.2_SeWr,,407-410,91,SeWr-RR-SedgeWren,Photo by Robert Royse,,,,,407,408.0,409.0,410.0,,,,,,,,,,,,,,,,,,122,http://BirdsongForTheCurious.com/SpeciesFile.php?page=122,Wrens,Troglodytidae,122
122,123,6. Song Learning Often Creates Complex Songs and Large Repertoires,6,6. Song Learning Often Creates Complex Songs and Large Repertoires,62,"Small to large repertoires: And songbirds with more, thousands even",Small to large repertoires,Small to large repertoires,Brown thrasher,6.2_BrTh,41,411-419,92,BrTh-BS-1-Brown Thrasher 02,Photo by Brian E. Small,,,,,411,412.0,413.0,414.0,415.0,416.0,417.0,418.0,419.0,,,,,,,,,,,,,123,http://BirdsongForTheCurious.com/SpeciesFile.php?page=123,"Mockingbirds, catbirds, thrashers, starlings",Mimidae,123
123,124,6. Song Learning Often Creates Complex Songs and Large Repertoires,6,6. Song Learning Often Creates Complex Songs and Large Repertoires,63,How a repertoire is delivered,How a repertoire is delivered,How a repertoire is delivered,Eastern towhee,6.3_EaTo,,420-424,94,EaTo-WH-20040612_Eastern_Towhee_WH_C2FS1748,"Eastern towhee
Photo by Wil Hershberger",SpTo-BS-Spotted Towhee_T0B74201,"Spotted towhee
Photo by Brian E. Small",,,420,421.0,422.0,423.0,424.0,,,,,,,,,,,,,,,,,124,http://BirdsongForTheCurious.com/SpeciesFile.php?page=124,Sparrows,Passerellidae,124
124,125,6. Song Learning Often Creates Complex Songs and Large Repertoires,6,6. Song Learning Often Creates Complex Songs and Large Repertoires,63,How a repertoire is delivered,How a repertoire is delivered,How a repertoire is delivered,Black-throated sparrow,6.3_BtSp,,425,95,BtSp-BS-Black-throated Sparrow_D4_2953,Photo by Brian E. Small,,,,,425,,,,,,,,,,,,,,,,,,,,,125,http://BirdsongForTheCurious.com/SpeciesFile.php?page=125,Sparrows,Passerellidae,125
125,126,6. Song Learning Often Creates Complex Songs and Large Repertoires,6,6. Song Learning Often Creates Complex Songs and Large Repertoires,63,How a repertoire is delivered,How a repertoire is delivered,How a repertoire is delivered,Bachman's sparrow,6.3_BaSp,,426,96,BaSp-RR-BachmansSparrow,Photo by Robert Royse,,,,,426,,,,,,,,,,,,,,,,,,,,,126,http://BirdsongForTheCurious.com/SpeciesFile.php?page=126,Sparrows,Passerellidae,126
126,127,6. Song Learning Often Creates Complex Songs and Large Repertoires,6,6. Song Learning Often Creates Complex Songs and Large Repertoires,63,How a repertoire is delivered,How a repertoire is delivered,How a repertoire is delivered,Cassin’s sparrow,6.3_CaSp,42,427,96,CaSp-WH-20140531_Cassin's_Sparrow_WH__MG_4681,Photo by Wil Hershberger,,,,,427,,,,,,,,,,,,,,,,,,,,,127,http://BirdsongForTheCurious.com/SpeciesFile.php?page=127,,,127
127,128,6. Song Learning Often Creates Complex Songs and Large Repertoires,6,6. Song Learning Often Creates Complex Songs and Large Repertoires,63,How a repertoire is delivered,How a repertoire is delivered,How a repertoire is delivered,Red-eyed vireo,6.3_ReVi,,428-429,98,ReVi-WH-Red-eyed_vireo_C2FS3699_WH,Photo by Wil Hershberger,,,,,428,429.0,,,,,,,,,,,,,,,,,,,,128,http://BirdsongForTheCurious.com/SpeciesFile.php?page=128,"Shrikes, vireos",Vireonidae,128
128,129,6. Song Learning Often Creates Complex Songs and Large Repertoires,6,6. Song Learning Often Creates Complex Songs and Large Repertoires,63,How a repertoire is delivered,How a repertoire is delivered,How a repertoire is delivered,Philadelphia vireo,6.3_PhVi,43,430-432,98,PhVi-BS-Philadelphia Vireo_D4_102414,Photo by Brian E. Small,,,,,430,431.0,432.0,,,,,,,,,,,,,,,,,,,129,http://BirdsongForTheCurious.com/SpeciesFile.php?page=129,"Shrikes, vireos",Vireonidae,129
129,130,6. Song Learning Often Creates Complex Songs and Large Repertoires,6,6. Song Learning Often Creates Complex Songs and Large Repertoires,63,How a repertoire is delivered,How a repertoire is delivered,How a repertoire is delivered,Yellow-breasted chat,6.3_YbCh,44,433-434,100,YbCh-RR-Y-bChat,Photo by Robert Royse,,,,,433,434.0,,,,,,,,,,,,,,,,,,,,130,http://BirdsongForTheCurious.com/SpeciesFile.php?page=130,Blackbirds,Icteridae,130
130,131,6. Song Learning Often Creates Complex Songs and Large Repertoires,6,6. Song Learning Often Creates Complex Songs and Large Repertoires,63,How a repertoire is delivered,How a repertoire is delivered,How a repertoire is delivered,Yellow-throated vireo,6.3_YtVi,45,435-436,101,YtVi-RR-Yellow-thrVireo,Photo by Robert Royse,,,,,435,436.0,,,,,,,,,,,,,,,,,,,,131,http://BirdsongForTheCurious.com/SpeciesFile.php?page=131,"Shrikes, vireos",Vireonidae,131
131,132,6. Song Learning Often Creates Complex Songs and Large Repertoires,6,6. Song Learning Often Creates Complex Songs and Large Repertoires,63,How a repertoire is delivered,How a repertoire is delivered,How a repertoire is delivered,American robin,6.3_AmRo,,437-438,101,AmRo-MR-AmRobinCalling_1330_Read,Photo by Marie Read,,,,,437,438.0,,,,,,,,,,,,,,,,,,,,132,http://BirdsongForTheCurious.com/SpeciesFile.php?page=132,Thrushes,Turdidae,132
132,133,6. Song Learning Often Creates Complex Songs and Large Repertoires,6,6. Song Learning Often Creates Complex Songs and Large Repertoires,63,How a repertoire is delivered,How a repertoire is delivered,How a repertoire is delivered,Wood thrush,6.3_WoTh,46,439-444,102,WoTh-BS-Wood Thrush_B9H26486,Photo by Brian E. Small,,,,,439,440.0,441.0,442.0,443.0,444.0,,,,,,,,,,,,,,,,133,http://BirdsongForTheCurious.com/SpeciesFile.php?page=133,Thrushes,Turdidae,133
133,134,6. Song Learning Often Creates Complex Songs and Large Repertoires,6,6. Song Learning Often Creates Complex Songs and Large Repertoires,64,"What? ""Songbirds"" with no song?","What? ""Songbirds"" with no song?","What? ""Songbirds"" with no song?",Cedar waxwing,6.4_CeWx,,445-446,104,CeWa-MR-CEWACrabapple_1762_Read,Photo by Marie Read,,,,,445,446.0,,,,,,,,,,,,,,,,,,,,134,http://BirdsongForTheCurious.com/SpeciesFile.php?page=134,"Waxwings, house sparrow",Bombycillidae,134
134,135,6. Song Learning Often Creates Complex Songs and Large Repertoires,6,6. Song Learning Often Creates Complex Songs and Large Repertoires,64,"What? ""Songbirds"" with no song?","What? ""Songbirds"" with no song?","What? ""Songbirds"" with no song?",Evening grosbeak,6.4_EvGr,,447,104,EvGr-RR-EveningGrosbeak,Photo by Robert Royse,,,,,447,,,,,,,,,,,,,,,,,,,,,135,http://BirdsongForTheCurious.com/SpeciesFile.php?page=135,"Finches, longspur",Fringillidae,135
135,136,6. Song Learning Often Creates Complex Songs and Large Repertoires,6,6. Song Learning Often Creates Complex Songs and Large Repertoires,64,"What? ""Songbirds"" with no song?","What? ""Songbirds"" with no song?","What? ""Songbirds"" with no song?",American crow,6.4_AmCr,,448-450,105,AmCr-WH-20110417_American_crow_WH_MG0522,Photo by Wil Hershberger,,,,,448,449.0,450.0,,,,,,,,,,,,,,,,,,,136,http://BirdsongForTheCurious.com/SpeciesFile.php?page=136,"Jays, crows",Corvidae,136
136,137,6. Song Learning Often Creates Complex Songs and Large Repertoires,6,6. Song Learning Often Creates Complex Songs and Large Repertoires,64,"What? ""Songbirds"" with no song?","What? ""Songbirds"" with no song?","What? ""Songbirds"" with no song?",Pinyon jay,6.4_PiJa,,451-452,105,PiJa-RR-PinyonJay,Photo by Robert Royse,,,,,451,452.0,,,,,,,,,,,,,,,,,,,,137,http://BirdsongForTheCurious.com/SpeciesFile.php?page=137,"Jays, crows",Corvidae,137
137,138,6. Song Learning Often Creates Complex Songs and Large Repertoires,6,6. Song Learning Often Creates Complex Songs and Large Repertoires,64,"What? ""Songbirds"" with no song?","What? ""Songbirds"" with no song?","What? ""Songbirds"" with no song?",Chestnut-backed chickadee,6.4_CbCh,,453-455,106,CbCh-RR-Chrstnut-backedChickadee,Photo by Robert Royse,,,,,453,454.0,455.0,,,,,,,,,,,,,,,,,,,138,http://BirdsongForTheCurious.com/SpeciesFile.php?page=138,"Chickadees, titmice",Paridae,138
138,139,6. Song Learning Often Creates Complex Songs and Large Repertoires,6,6. Song Learning Often Creates Complex Songs and Large Repertoires,64,"What? ""Songbirds"" with no song?","What? ""Songbirds"" with no song?","What? ""Songbirds"" with no song?",Bushtit,6.4_Bush,47,456,107,Bush-BS-Bushtit_T0B72812,Photo by Brian E. Small,,,,,456,,,,,,,,,,,,,,,,,,,,,139,http://BirdsongForTheCurious.com/SpeciesFile.php?page=139,"Bushtit, nuthatch",Aegithalidae,139
139,140,"7. When to Sing, and How ",7,"7. When to Sing, and How ",71,How birds go to roost and awake: Going to roost,How birds go to roost and awake: Going to roost,How birds go to roost and awake,Pileated woodpecker,7.1_PiWo,,457,108,PiWo-MR-PileatedWoodpF_9595_Read,Photo by Marie Read,,,,,457,,,,,,,,,,,,,,,,,,,,,140,http://BirdsongForTheCurious.com/SpeciesFile.php?page=140,"Woodpeckers, falcons",Picidae,140
140,141,"7. When to Sing, and How ",7,"7. When to Sing, and How ",71,How birds go to roost and awake: Going to roost,How birds go to roost and awake: Going to roost,How birds go to roost and awake,Wood thrush,7.1_WoTh,,458,109,WoTh-WH-20030504_Wood_Thrush_WH_C2FS3258,Photo by Wil Hershberger,,,,,458,,,,,,,,,,,,,,,,,,,,,141,http://BirdsongForTheCurious.com/SpeciesFile.php?page=141,Thrushes,Turdidae,141
141,142,"7. When to Sing, and How ",7,"7. When to Sing, and How ",71,How birds go to roost and awake: Awaking,How birds go to roost and awake,How birds go to roost and awake,Great-tailed grackle,7.1_GtGr,,459,109,GtGr-RR-Great-tailedGrackle1,Photo by Robert Royse,,,,,459,,,,,,,,,,,,,,,,,,,,,142,http://BirdsongForTheCurious.com/SpeciesFile.php?page=142,Blackbirds,Icteridae,142
142,143,"7. When to Sing, and How ",7,"7. When to Sing, and How ",71,How birds go to roost and awake: Awaking,How birds go to roost and awake,How birds go to roost and awake,Blue jay,7.1_BlJa,,460,110,BlJa-WH-Blue_jay_C2FS5973_levels_USM_NI_cropped_WH,Photo by Wil Hershberger,,,,,460,,,,,,,,,,,,,,,,,,,,,143,http://BirdsongForTheCurious.com/SpeciesFile.php?page=143,"Jays, crows",Corvidae,143
143,144,"7. When to Sing, and How ",7,"7. When to Sing, and How ",71,How birds go to roost and awake: Awaking,How birds go to roost and awake,How birds go to roost and awake,Swainson's thrush,7.1_SwTh,,461,110,SwTh-BS-Swainson's Thrush_T0B29875,Photo by Brian E. Small,,,,,461,,,,,,,,,,,,,,,,,,,,,144,http://BirdsongForTheCurious.com/SpeciesFile.php?page=144,Thrushes,Turdidae,144
144,145,"7. When to Sing, and How ",7,"7. When to Sing, and How ",71,How birds go to roost and awake: Awaking,How birds go to roost and awake,How birds go to roost and awake,Veery,7.1_Veery,48,462,110,Veery-RR-Veery,Photo by Robert Royse,,,,,462,,,,,,,,,,,,,,,,,,,,,145,http://BirdsongForTheCurious.com/SpeciesFile.php?page=145,Thrushes,Turdidae,145
145,146,"7. When to Sing, and How ",7,"7. When to Sing, and How ",71,How birds go to roost and awake: Awaking,How birds go to roost and awake,How birds go to roost and awake,Northern mockingbird,7.1_NoMo,"49, 50",463-476,111,NoMo--bbj411a-nomo-rt-dk-TX-05-02-19_7062,Photo by John Van de Graaff,NoCa-BbJ-464b-noca-m-cactus_TX-08-01-28_0397 copy,Photo by John Van de Graaff,,,463,464.0,465.0,466.0,467.0,468.0,469.0,470.0,471.0,472.0,473.0,474.0,475.0,476.0,,,,,,,,146,http://BirdsongForTheCurious.com/SpeciesFile.php?page=146,"Mockingbirds, catbirds, thrashers, starlings",Mimidae,146
146,147,"7. When to Sing, and How ",7,"7. When to Sing, and How ",72,Energized dawn singing,Energized dawn singing,Energized dawn singing,Great crested flycatcher,7.2_GCFl,,477-478,113,GcFl-WH-Great_crested_flycatcher_050494_WH,Photo by Wil Hershberger,,,,,477,478.0,,,,,,,,,,,,,,,,,,,,147,http://BirdsongForTheCurious.com/SpeciesFile.php?page=147,Flycatchers,Tyrannidae,147
147,148,"7. When to Sing, and How ",7,"7. When to Sing, and How ",72,Energized dawn singing,Energized dawn singing,Energized dawn singing,Eastern bluebird,7.2_EaBl,,479-480,114,EaBl--bbj401b-eabl-m-moth!-NY-04-07-10_2541,Photo by John Van de Graaff,,,,,479,480.0,,,,,,,,,,,,,,,,,,,,148,http://BirdsongForTheCurious.com/SpeciesFile.php?page=148,Thrushes,Turdidae,148
148,149,"7. When to Sing, and How ",7,"7. When to Sing, and How ",72,Energized dawn singing,Energized dawn singing,Energized dawn singing,Horned lark,7.2_HoLa,51,481-484,114,HoLa-WH-20120412_Horned_lark_CO_WH_MG_4331,Photo by Wil Hershberger,,,,,481,482.0,483.0,484.0,,,,,,,,,,,,,,,,,,149,http://BirdsongForTheCurious.com/SpeciesFile.php?page=149,"Larks, swallows",Alaudidae,149
149,150,"7. When to Sing, and How ",7,"7. When to Sing, and How ",72,Energized dawn singing,Energized dawn singing,Energized dawn singing,Black-headed grosbeak,7.2_BhGr,,485-488,115,BhGr-MR-BHGrosbeakMSing_4768_Read,Photo by Marie Read,,,,,485,486.0,487.0,488.0,,,,,,,,,,,,,,,,,,150,http://BirdsongForTheCurious.com/SpeciesFile.php?page=150,"Cardinals, tanagers, grosbeaks, buntings",Cardinalidae,150
150,151,"7. When to Sing, and How ",7,"7. When to Sing, and How ",72,Energized dawn singing,Energized dawn singing,Energized dawn singing,Yellow warbler,7.2_YeWa,52,489-490,115,YeWa-RR-YellowWarbler,Photo by Robert Royse,,,,,489,490.0,,,,,,,,,,,,,,,,,,,,151,http://BirdsongForTheCurious.com/SpeciesFile.php?page=151,Warblers,Parulidae,151
151,152,"7. When to Sing, and How ",7,"7. When to Sing, and How ",72,Energized dawn singing,Energized dawn singing,Energized dawn singing,Orchard oriole,7.2_OrOr,,491-493,116,OrOr-WH-Orchard_oriole_male_WH_Orchard_oriole_male_singing_WIL9447-Edit-3,Photo by Wil Hershberger,,,,,491,492.0,493.0,,,,,,,,,,,,,,,,,,,152,http://BirdsongForTheCurious.com/SpeciesFile.php?page=152,Blackbirds,Icteridae,152
152,153,"7. When to Sing, and How ",7,"7. When to Sing, and How ",72,Energized dawn singing,Energized dawn singing,Energized dawn singing,Red-winged blackbird,7.2_RwBl,"53, 54",494-496,117,RwBl-MR-RWBlackbirdMTakeoff_1605_Read,Photo by Marie Read,,,,,494,495.0,496.0,,,,,,,,,,,,,,,,,,,153,http://BirdsongForTheCurious.com/SpeciesFile.php?page=153,Blackbirds,Icteridae,153
153,154,"7. When to Sing, and How ",7,"7. When to Sing, and How ",72,Energized dawn singing,Energized dawn singing,Energized dawn singing,Chipping sparrow,7.2_ChSp,,497-498,120,ChSp-WH-Chipping_sparrow_in_white_flowering_peach_tree_044860_WH,Photo by Wil Hershberger,,,,,497,498.0,,,,,,,,,,,,,,,,,,,,154,http://BirdsongForTheCurious.com/SpeciesFile.php?page=154,Sparrows,Passerellidae,154
154,155,"7. When to Sing, and How ",7,"7. When to Sing, and How ",72,Energized dawn singing,Energized dawn singing,Energized dawn singing,Field sparrow,7.2_FiSp,,499-500,121,FiSp-WH-Field_sparrow_in_peach_trees_044796_WH,Photo by Wil Hershberger,,,,,499,500.0,,,,,,,,,,,,,,,,,,,,155,http://BirdsongForTheCurious.com/SpeciesFile.php?page=155,Sparrows,Passerellidae,155
155,156,"7. When to Sing, and How ",7,"7. When to Sing, and How ",72,Energized dawn singing,Energized dawn singing,Energized dawn singing,Brewer's sparrow,7.2_BrSp,55,501-505,121,BrSp-WH-20130516_Brewer's_Sparrow_WH_MG_1509,Photo by Wil Hershberger,,,,,501,502.0,503.0,504.0,505.0,,,,,,,,,,,,,,,,,156,http://BirdsongForTheCurious.com/SpeciesFile.php?page=156,Sparrows,Passerellidae,156
156,157,"7. When to Sing, and How ",7,"7. When to Sing, and How ",72,Energized dawn singing,Energized dawn singing,Energized dawn singing,Clay-colored sparrow,7.2_CcSp,"56, 57",506-508,122,CcSp-WH-20120510_Clay-colored_sparrow_ND_WH_MG_7027,Photo by Wil Hershberger,,,,,506,507.0,508.0,,,,,,,,,,,,,,,,,,,157,http://BirdsongForTheCurious.com/SpeciesFile.php?page=157,Sparrows,Passerellidae,157
157,158,"7. When to Sing, and How ",7,"7. When to Sing, and How ",73,Night singing: Expected night singers,Night singing,Night singing,Chuck-will's-widow,7.3_CWWi,58,509-510,124,CWWi-VIREO-Chuck-will's-widow t16-1-022,"Photo by J. Turner, M. D./VIREO",,,,,509,510.0,,,,,,,,,,,,,,,,,,,,158,http://BirdsongForTheCurious.com/SpeciesFile.php?page=158,Nightjars,Caprimulgidae,158
158,159,"7. When to Sing, and How ",7,"7. When to Sing, and How ",73,Night singing: Expected night singers,Night singing,Night singing,Barred owl,7.3_BaOw,59,511,124,BaOw-WH-C2FS9722,Photo by Wil Hershberger,,,,,511,,,,,,,,,,,,,,,,,,,,,159,http://BirdsongForTheCurious.com/SpeciesFile.php?page=159,"Herons, hawks, owls",Strigidae,159
159,160,"7. When to Sing, and How ",7,"7. When to Sing, and How ",73,Night singing: Expected night singers,Night singing,Night singing,Limpkin,7.3_Limp,,512,125,Limp--bbj156a-limp-shell-C-a-FL-06-01-12_0728C,Photo by John Van de Graaff,,,,,512,,,,,,,,,,,,,,,,,,,,,160,http://BirdsongForTheCurious.com/SpeciesFile.php?page=160,"Rails, limpkin, cranes",Aramidae,160
160,161,"7. When to Sing, and How ",7,"7. When to Sing, and How ",73,Night singing: Expected night singers,Night singing,Night singing,Great blue heron,7.3_GBHe,,513,126,GbHe-MR-GreatBlueHeron_2326_Read,Photo by Marie Read,,,,,513,,,,,,,,,,,,,,,,,,,,,161,http://BirdsongForTheCurious.com/SpeciesFile.php?page=161,"Herons, hawks, owls",Ardeidae,161
161,162,"7. When to Sing, and How ",7,"7. When to Sing, and How ",73,Night singing: Surprising songbirds,Night singing,Night singing,Purple martin,7.3_PuMar,60,514-515,126,PuMar-BS-Purple Martin 09,Photo by Brian E. Small,,,,,514,515.0,,,,,,,,,,,,,,,,,,,,162,http://BirdsongForTheCurious.com/SpeciesFile.php?page=162,"Larks, swallows",Hirundinidae,162
162,163,"7. When to Sing, and How ",7,"7. When to Sing, and How ",73,Night singing: Surprising songbirds,Night singing,Night singing,Northern mockingbird,7.3_NoMo,61,516-531,127,NoMo-WH-20031123_Northern_Mockingbird_WH_C2FS2785,Photo by Wil Hershberger,SaTh-RR-SageThrasher,Photo by Robert Royse,,,516,517.0,518.0,519.0,520.0,521.0,522.0,523.0,524.0,525.0,526.0,527.0,528.0,529.0,530.0,531.0,,,,,,163,http://BirdsongForTheCurious.com/SpeciesFile.php?page=163,"Mockingbirds, catbirds, thrashers, starlings",Mimidae,163
163,164,"7. When to Sing, and How ",7,"7. When to Sing, and How ",73,Night singing: Surprising songbirds,Night singing,Night singing,Connecticut warbler,7.3_CtWa,,532,128,CtWa-BS-Connecticut Warbler 06,Photo by Brian E. Small,,,,,532,,,,,,,,,,,,,,,,,,,,,164,http://BirdsongForTheCurious.com/SpeciesFile.php?page=164,Warblers,Parulidae,164
164,165,"7. When to Sing, and How ",7,"7. When to Sing, and How ",73,Night singing: Surprising songbirds,Night singing,Night singing,Gray-cheeked thrush,7.3_GcTh,,533,128,GcTh-RR-Gray-cheekedThrush1,Photo by Robert Royse,,,,,533,,,,,,,,,,,,,,,,,,,,,165,http://BirdsongForTheCurious.com/SpeciesFile.php?page=165,Thrushes,Turdidae,165
165,166,"7. When to Sing, and How ",7,"7. When to Sing, and How ",73,Night singing: Surprising songbirds,Night singing,Night singing,Ovenbird,7.3_Oven,62,534-535,129,Oven-MR-Ovenbird_4620R_Read,Photo by Marie Read,,,,,534,535.0,,,,,,,,,,,,,,,,,,,,166,http://BirdsongForTheCurious.com/SpeciesFile.php?page=166,Warblers,Parulidae,166
166,167,"7. When to Sing, and How ",7,"7. When to Sing, and How ",74,Songs and calls in flight,Songs and calls in flight,Songs and calls in flight,American woodcock,7.4_AmWo,63,536,130,AmWo-WH-20110402_American_woodcock_WH_MG9984,Photo by Wil Hershberger,,,,,536,,,,,,,,,,,,,,,,,,,,,167,http://BirdsongForTheCurious.com/SpeciesFile.php?page=167,"Shorebirds, gulls",Scolopacidae,167
167,168,"7. When to Sing, and How ",7,"7. When to Sing, and How ",74,Songs and calls in flight,Songs and calls in flight,Songs and calls in flight,Willet,7.4_Will,,537-538,131,Will--bbj172-will-flight-CA-04-02-20_4456,Photo by John Van de Graaff,,,,,537,538.0,,,,,,,,,,,,,,,,,,,,168,http://BirdsongForTheCurious.com/SpeciesFile.php?page=168,"Shorebirds, gulls",Scolopacidae,168
168,169,"7. When to Sing, and How ",7,"7. When to Sing, and How ",74,Songs and calls in flight,Songs and calls in flight,Songs and calls in flight,Red-tailed hawk,7.4_RtHa,,539-541,132,RtHa--bbj122-rtha-close-NO-04-6-28-2288,Photo by John Van de Graaff,,,,,539,540.0,541.0,,,,,,,,,,,,,,,,,,,169,http://BirdsongForTheCurious.com/SpeciesFile.php?page=169,"Herons, hawks, owls",Accipitridae,169
169,170,"7. When to Sing, and How ",7,"7. When to Sing, and How ",74,Songs and calls in flight,Songs and calls in flight,Songs and calls in flight,Tree swallow,7.4_TrSw,64,542-543,132,TrSw--bbj367b-trsw-side-orng-Noho-06-4-16_1095,Photo by John Van de Graaff,,,,,542,543.0,,,,,,,,,,,,,,,,,,,,170,http://BirdsongForTheCurious.com/SpeciesFile.php?page=170,"Larks, swallows",Hirundinidae,170
170,171,"7. When to Sing, and How ",7,"7. When to Sing, and How ",74,Songs and calls in flight,Songs and calls in flight,Songs and calls in flight,Mountain bluebird,7.4_MoBl,,544,133,MoBl--bbj400b-mobl-wall-UT-06-05-31_4848,Photo by John Van de Graaff,,,,,544,,,,,,,,,,,,,,,,,,,,,171,http://BirdsongForTheCurious.com/SpeciesFile.php?page=171,Thrushes,Turdidae,171
171,172,"7. When to Sing, and How ",7,"7. When to Sing, and How ",74,Songs and calls in flight,Songs and calls in flight,Songs and calls in flight,Common redpoll,7.4_CoRe,,545,133,CoRe-lw-CoRe IMG_2087,Photo by Laure Wilson Neish,,,,,545,,,,,,,,,,,,,,,,,,,,,172,http://BirdsongForTheCurious.com/SpeciesFile.php?page=172,,,172
172,173,"7. When to Sing, and How ",7,"7. When to Sing, and How ",74,Songs and calls in flight,Songs and calls in flight,Songs and calls in flight,American goldfinch,7.4_AmGo,,546-547,134,AmGo-WH-20050429_American_Goldfinch_male_WH_C2FS2879,Photo by Wil Hershberger,,,,,546,547.0,,,,,,,,,,,,,,,,,,,,173,http://BirdsongForTheCurious.com/SpeciesFile.php?page=173,"Finches, longspur",Fringillidae,173
173,174,"7. When to Sing, and How ",7,"7. When to Sing, and How ",74,Songs and calls in flight,Songs and calls in flight,Songs and calls in flight,McCown’s longspur,7.4_McLo,,548,134,McLo-WH-20120410_McCown's_longspur_CO_WH_MG_4037,Photo by Wil Hershberger,,,,,548,,,,,,,,,,,,,,,,,,,,,174,http://BirdsongForTheCurious.com/SpeciesFile.php?page=174,"Finches, longspur",Calcariidae,174
174,175,"7. When to Sing, and How ",7,"7. When to Sing, and How ",74,Songs and calls in flight,Songs and calls in flight,Songs and calls in flight,Lark bunting,7.4_LarBu,65,549,134,LarBu-WH-20130515_Lark_Bunting_WH_MG_1382,Photo by Wil Hershberger,,,,,549,,,,,,,,,,,,,,,,,,,,,175,http://BirdsongForTheCurious.com/SpeciesFile.php?page=175,Sparrows,Passerellidae,175
175,176,"7. When to Sing, and How ",7,"7. When to Sing, and How ",74,Songs and calls in flight,Songs and calls in flight,Songs and calls in flight,Western meadowlark,7.4_WeMe,66,550-552,135,WeMe-WH-20140610_Western_Meadowlark_WH__MG_6896,Photo by Wil Hershberger,,,,,550,551.0,552.0,,,,,,,,,,,,,,,,,,,176,http://BirdsongForTheCurious.com/SpeciesFile.php?page=176,Blackbirds,Icteridae,176
176,177,8. How Songs Change over Space and Time,8,8. How Songs Change over Space and Time,81,Each individual has its own song,Each individual has its own song,Each individual has its own song,Red junglefowl (chicken),8.1_ReJu,,553-554,137,ReJu DK 1-19_4578,Photo by Donald Kroodsma,,,,,553,554.0,,,,,,,,,,,,,,,,,,,,177,http://BirdsongForTheCurious.com/SpeciesFile.php?page=177,,,177
177,178,8. How Songs Change over Space and Time,8,8. How Songs Change over Space and Time,81,Each individual has its own song,Each individual has its own song,Each individual has its own song,Ovenbird,8.1_Oven,,555-559,138,Oven--bbj448b-oven-singing-B-NO-04-06-09_1065,Photo by John Van de Graaff,,,,,555,556.0,557.0,558.0,559.0,,,,,,,,,,,,,,,,,178,http://BirdsongForTheCurious.com/SpeciesFile.php?page=178,Warblers,Parulidae,178
178,179,8. How Songs Change over Space and Time,8,8. How Songs Change over Space and Time,81,Each individual has its own song,Each individual has its own song,Each individual has its own song,American redstart,8.1_AmRe,,560-566,139,AmRe-lw-AMRE(m)_0234,Photo by Laure Wilson Neish,,,,,560,561.0,562.0,563.0,564.0,565.0,566.0,,,,,,,,,,,,,,,179,http://BirdsongForTheCurious.com/SpeciesFile.php?page=179,Warblers,Parulidae,179
179,180,8. How Songs Change over Space and Time,8,8. How Songs Change over Space and Time,81,Each individual has its own song,Each individual has its own song,Each individual has its own song,Chestnut-sided warbler,8.1_CsWa,67,567-572,139,CsWa-WH-20130608_Chestnut-sided_Warbler_WH_MG_3737,Photo by Wil Hershberger,,,,,567,568.0,569.0,570.0,571.0,572.0,,,,,,,,,,,,,,,,180,http://BirdsongForTheCurious.com/SpeciesFile.php?page=180,Warblers,Parulidae,180
180,181,8. How Songs Change over Space and Time,8,8. How Songs Change over Space and Time,82,Each species has its own song,Each species has its own song,Each species has its own song,Ruffed grouse,8.2_RuGr,68,573-575,141,RuGr-lw-RUGR-drum_7662,Photo by Laure Wilson Neish,,,,,573,574.0,575.0,,,,,,,,,,,,,,,,,,,181,http://BirdsongForTheCurious.com/SpeciesFile.php?page=181,"Quail, chicken, grouse, turkey, chachalaca",Phasianidae,181
